LINE,SENT DATE
236149,2017-02-13
236171,2017-02-13
236431,2017-02-13
237610,2017-02-13
238281,2017-02-13
239172,2017-02-13
239570,2017-02-13
239630,2017-02-13
239815,2017-02-13
239948,2017-02-13
240578,2017-02-13
241467,2017-02-13
241489,2017-02-13
241812,2017-02-13
242674,2017-02-13
233205,2017-02-13
233816,2017-02-13
234182,2017-02-13
234359,2017-02-13
234523,2017-02-13
234680,2017-02-13
234782,2017-02-13
234804,2017-02-13
234824,2017-02-13
234895,2017-02-13
235027,2017-02-13
235153,2017-02-13
235171,2017-02-13
235179,2017-02-13
235241,2017-02-13
235265,2017-02-13
235355,2017-02-13
235438,2017-02-13
235447,2017-02-13
235463,2017-02-13
235658,2017-02-13
235752,2017-02-13
235881,2017-02-13
235882,2017-02-13
235896,2017-02-13
236115,2017-02-13
236183,2017-02-13
236214,2017-02-13
236215,2017-02-13
236217,2017-02-13
236281,2017-02-13
236324,2017-02-13
236447,2017-02-13
236477,2017-02-13
236536,2017-02-13
236563,2017-02-13
236639,2017-02-13
236702,2017-02-13
236709,2017-02-13
236713,2017-02-13
236838,2017-02-13
236900,2017-02-13
236906,2017-02-13
236986,2017-02-13
237250,2017-02-13
237261,2017-02-13
237332,2017-02-13
237444,2017-02-13
237578,2017-02-13
237627,2017-02-13
237650,2017-02-13
237665,2017-02-13
237693,2017-02-13
237730,2017-02-13
238044,2017-02-13
238196,2017-02-13
238204,2017-02-13
238209,2017-02-13
238561,2017-02-13
238742,2017-02-13
239113,2017-02-13
239497,2017-02-13
239895,2017-02-13
240155,2017-02-13
240279,2017-02-13
241387,2017-02-13
241446,2017-02-13
242566,2017-02-13
234391,2017-02-13
234978,2017-02-13
235107,2017-02-13
235155,2017-02-13
235594,2017-02-13
235754,2017-02-13
235879,2017-02-13
236079,2017-02-13
236129,2017-02-13
236530,2017-02-13
237344,2017-02-13
237672,2017-02-13
238241,2017-02-13
238674,2017-02-13
238808,2017-02-13
239362,2017-02-13
240177,2017-02-13
240581,2017-02-13
240682,2017-02-13
240740,2017-02-13
242662,2017-02-13
243114,2017-02-13
243130,2017-02-13
243165,2017-02-13
243350,2017-02-13
243380,2017-02-13
243587,2017-02-13
243619,2017-02-13
243626,2017-02-13
243627,2017-02-13
243632,2017-02-13
243651,2017-02-13
243680,2017-02-13
243790,2017-02-13
243791,2017-02-13
243896,2017-02-13
234783,2017-02-14
235505,2017-02-14
235611,2017-02-14
235715,2017-02-14
236947,2017-02-14
237622,2017-02-14
237648,2017-02-14
238192,2017-02-14
239059,2017-02-14
239132,2017-02-14
239256,2017-02-14
239813,2017-02-14
240164,2017-02-14
240260,2017-02-14
240430,2017-02-14
240498,2017-02-14
240702,2017-02-14
240707,2017-02-14
241261,2017-02-14
241643,2017-02-14
241682,2017-02-14
242016,2017-02-14
242131,2017-02-14
243250,2017-02-14
243439,2017-02-14
232542,2017-02-14
234069,2017-02-14
234859,2017-02-14
235026,2017-02-14
235513,2017-02-14
235514,2017-02-14
235599,2017-02-14
235869,2017-02-14
235875,2017-02-14
235915,2017-02-14
236153,2017-02-14
236154,2017-02-14
236527,2017-02-14
236903,2017-02-14
236957,2017-02-14
237267,2017-02-14
237301,2017-02-14
237302,2017-02-14
237834,2017-02-14
237844,2017-02-14
237849,2017-02-14
237879,2017-02-14
237950,2017-02-14
238020,2017-02-14
