order_number,ship_date
R704172268,2017-04-12
R550218760,2017-04-12
R365772282,2017-04-12
R536328206,2017-04-12
R224143415,2017-04-12
R664803214,2017-04-12
R531336123,2017-04-12
R858008853,2017-04-12
R560548217,2017-04-13
R846723763,2017-04-13
R440457055,2017-04-13
R631205876,2017-04-13
R242421050,2017-04-13
R477702724,2017-04-13
R314338076,2017-04-13
E437471221,2017-04-13
R426458876,2017-04-13
R553277846,2017-04-13
R376355460,2017-04-13
R388671306,2017-04-13
R844752000,2017-04-13
R838665085,2017-04-13
R688726153,2017-04-14
R110557204,2017-04-14
R471473786,2017-04-14
R057655413,2017-04-14
R613612317,2017-04-14
R605573646,2017-04-14
R647708507,2017-04-14
R450145651,2017-04-14
R211224555,2017-04-14
R164321228,2017-04-14
R835136733,2017-04-14
R370456285,2017-04-14
R812653823,2017-04-14
R072604645,2017-04-14
R008661212,2017-04-14
R523075622,2017-04-14
R127831503,2017-04-14
R337002585,2017-04-14
R166485420,2017-04-14
R011732867,2017-04-14
R202805486,2017-04-14
R115555653,2017-04-14
R848115673,2017-04-17
R363182313,2017-04-17
R236213617,2017-04-17
R183577773,2017-04-17
R501561778,2017-04-17
R638418245,2017-04-17
R804765448,2017-04-17
R588052270,2017-04-17
R254116712,2017-04-17
R426183442,2017-04-17
R305885006,2017-04-17
R478672707,2017-04-17
R811252710,2017-04-17
R014265740,2017-04-17
R036823246,2017-04-17
R750665375,2017-04-17
R773785457,2017-04-17
R118617230,2017-04-17
R141284530,2017-04-17
R427540662,2017-04-17
R253232806,2017-04-17
R044630275,2017-04-17
R825307835,2017-04-17
R778455324,2017-04-17
R044630275,2017-04-17
R065063283,2017-04-17
R525712553,2017-04-17
R121617070,2017-04-17
R218256766,2017-04-17
R337044670,2017-04-17
R177766827,2017-04-17
R237241746,2017-04-17
R651460024,2017-04-17
R333778108,2017-04-18
R431730853,2017-04-18
R431730853,2017-04-18
R780761817,2017-04-18
R477343517,2017-04-18
R260366211,2017-04-18
R431730853,2017-04-18
R866371756,2017-04-18
R281876037,2017-04-18
R524385443,2017-04-18
R847428348,2017-04-18
R448342086,2017-04-18
R565187476,2017-04-18
R778608448,2017-04-18
R657541351,2017-04-18
R472630581,2017-04-18
R216317353,2017-04-18
R615840201,2017-04-18
R214176451,2017-04-18
R065874714,2017-04-18
R028312212,2017-04-18
R261306504,2017-04-18
R111574765,2017-04-18
R383702883,2017-04-18
R130481168,2017-04-19
R031218630,2017-04-19
R605574368,2017-04-19
R033321451,2017-04-19
R270580215,2017-04-19
R270580215,2017-04-19
R877426657,2017-04-21
R877426657,2017-04-21
R513576750,2017-04-19
R453730687,2017-04-19
R604624521,2017-04-19
R078256555,2017-04-19
R650137660,2017-04-19
R138700876,2017-04-19
R017456136,2017-04-19
R017456136,2017-04-19
R108624318,2017-04-20
R016081561,2017-04-20
R862310384,2017-04-20
R000106116,2017-04-20
R336067335,2017-04-20
R328514017,2017-04-20
R671715610,2017-04-20
R063801552,2017-04-20
R108624318,2017-04-20
R321528044,2017-04-20
R352102136,2017-04-20
R486437843,2017-04-20
R618372264,2017-04-20
R164762762,2017-04-20
R462358316,2017-04-20
R714356645,2017-04-20
R255226207,2017-04-21
R704272250,2017-04-21
R286373235,2017-04-21
R653767870,2017-04-21
R327173040,2017-04-21
R257651845,2017-04-21
R240711660,2017-04-21
R083064241,2017-04-21
R038203425,2017-04-21
R173831574,2017-04-21
R813807354,2017-04-21
R034768078,2017-04-21
R358423263,2017-04-21
R760135231,2017-04-21
R106738704,2017-04-21
R131045543,2017-04-21
R408385532,2017-04-21
R080644527,2017-04-21
R865078082,2017-04-21
R403105868,2017-04-21
R813467148,2017-04-24
R706574243,2017-04-24
R881373617,2017-04-24
E552336833,2017-04-24
R046867488,2017-04-24
R056545638,2017-04-24
R154730554,2017-04-24
R406157448,2017-04-24
R552363502,2017-04-24
R564236684,2017-04-24
R576336674,2017-04-24
R577753621,2017-04-24
R620156506,2017-04-24
R805040582,2017-04-24
R018862378,2017-04-24
R131740322,2017-04-24
R257774700,2017-04-24
R257774700,2017-04-24
R315215302,2017-04-24
R344754634,2017-04-24
R365272308,2017-04-24
R433743824,2017-04-24
R437785881,2017-04-24
R462374277,2017-04-24
R483515223,2017-04-24
R527788786,2017-04-24
R567532884,2017-04-24
R615287282,2017-04-24
R677814707,2017-04-24
R713245725,2017-04-24
R713245725,2017-04-24
R820883676,2017-04-24
R831618633,2017-04-24
R883788441,2017-04-24
R200043655,2017-04-24
R213821430,2017-04-24
R214514377,2017-04-24
R273871548,2017-04-24
R418828817,2017-04-24
R462425555,2017-04-24
R553487583,2017-04-24
R612157867,2017-04-24
R627120462,2017-04-24
R627120500,2017-04-24
R701565013,2017-04-24
R812541246,2017-04-24
R018834181,2017-04-25
R062877856,2017-04-25
R076513245,2017-04-25
R104324666,2017-04-25
R128144812,2017-04-25
R247500851,2017-04-25
R328506045,2017-04-25
R346612474,2017-04-25
R407573146,2017-04-25
R431182776,2017-04-25
R440426731,2017-04-25
R485507334,2017-04-25
R534337316,2017-04-25
R543766253,2017-04-25
R543766253,2017-04-25
R617257383,2017-04-25
R643423665,2017-04-25
R655681003,2017-04-25
R744857108,2017-04-25
R867124732,2017-04-25
R342255755,2017-04-26
R218054423,2017-04-26
R306630146,2017-04-26
R656780585,2017-04-26
R374084624,2017-04-26
R763237402,2017-04-26
R400738148,2017-04-26
R428207747,2017-04-26
R731624742,2017-04-26
R358874511,2017-04-26
R730326165,2017-04-26
R373483334,2017-04-26
R260332821,2017-04-26
R538200464,2017-04-26
R774766815,2017-04-26
R411568268,2017-04-26
R534521471,2017-04-26
R741158823,2017-04-26
R045628688,2017-04-26
R844786144,2017-04-26
R728326123,2017-04-26
R814278551,2017-04-26
R156043476,2017-04-26
R100534227,2017-04-28
R580524134,2017-04-28
R228232838,2017-04-28
R207046233,2017-04-28
R745400781,2017-04-28
R311828446,2017-04-28
R557118723,2017-04-28
R526801356,2017-04-28
R008531826,2017-04-28
R207046233,2017-04-28
R642110553,2017-04-28
R878606884,2017-04-28
R235514168,2017-04-28
R207046233,2017-04-28
R424050544,2017-04-28
R627715762,2017-04-28
R675020643,2017-04-28
R203056811,2017-04-28
R105727116,2017-04-28
R620756430,2017-04-28
R788073676,2017-04-28
R302185146,2017-04-28
R238826488,2017-04-28
R677024746,2017-04-28
