utm_campaign,product
PROM_USA_ALL_16-19_NA_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-BARBARA_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_BARBARA-DRESSES_URSA-FALLFROMHEAVEN-TAURUS-SORRENTO-CLAUDIE-KEATONTWOPIECE,FALLFROMHEAVEN
CONTEMPORARY_AUS_ALL_25-38_LOOKALIKE_M_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
CONTEMPORARY_USA_ALL_28-35_ALL_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
PROM_USA_ALL_16-19_NA_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-ASHLEY_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_ASHLEY-DRESSES_SUPERNOVA-STARRYSKY-HYDRA-LYRA-EKKO-CATALINA,STARRYSKY
CONTEMPORARY_USA_ALL_28-35_COMPETITORS_ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY,SELAH
CONTEMPORARY_USA_ALL_28-35_HHI_ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY,SELAH
CONTEMPORARY_USA_ALL_28-35_SUSTAINABILITY _ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY,SELAH
CONTEMPORARY_USA_ALL_36-45_COMPETITORS_ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY,SELAH
CONTEMPORARY_USA_ALL_36-45_SUSTAINABILITY _ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY,SELAH
CONTEMPORARY_AUS_ALL_36-45_HHI_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
PROM_RE_NZ_ALL_17-19_RE_ALL_CAROUSEL_PRODUCT_NEW ARRIVALS_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_RINGWALD-GEMINI-VALENTINA-LIESL-DEVILLE,DRESSES_RINGWALD
PROM-RE_CAN_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,VIRGO
PROM-RE_NZ_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,VIRGO
CONTEMPORARY_USA_ALL_36-45_ALL_ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY,SELAH
PROM-RE_CAN_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,NIKITA
PROM-RE_UK_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,VIRGO
PROM_RE_CAN_ALL_17-19_RE_ALL_CAROUSEL_PRODUCT_NEW ARRIVALS_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_RINGWALD-GEMINI-VALENTINA-LIESL-DEVILLE,DRESSES_RINGWALD
CONTEMPORARY_USA_ALL_36-45_HHI_ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY,SELAH
PROM_RE_UK_ALL_17-19_RE_ALL_CAROUSEL_PRODUCT_NEW ARRIVALS_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_RINGWALD-GEMINI-VALENTINA-LIESL-DEVILLE,DRESSES_RINGWALD
PROM_USA_ALL_16-19_NA_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-GABI_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_GABI-DRESSES_ANTARES-TILBURY-VELA-BOREALIS-MARGO-ARA,TILBURY
CONTEMPORARY_USA_ALL_26-35_LOOKALIKE_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
PROM-RE_UK_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,NIKITA
CONTEMPORARY-RE_USA_ALL_26-45_RE_ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_OFFER_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY,SELAH
CONTEMPORARY_USA-AUS_ALL_28-45_ALL_ALL_CAROUSEL_PRODUCT_WC-PROFITABLE-CUSTOMER-TEST-BEST-SELLERS_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_NOVA-ZENITH-ADA-EVERETT-LACE-DRAGONEYES,ZENITH
CONTEMPORARY_USA-AUS_ALL_28-45_ALL_ALL_CAROUSEL_PRODUCT_WC-PROFITABLE-CUSTOMER-TEST-BEST-SELLERS-MISSION_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_NOVA-ZENITH-ADA-EVERETT-LACE-DRAGONEYES,ZENITH
PROM_AUS_ALL_16-20_AU-FORMAL_ALL_CAROUSEL_PRODUCT_AU-FORMAL-LP-TEST_CAROUSEL_PRODUCT_BRAND_CATEGORY-PDP_DRESSES_PISCES-VIRGO-APHELION-SOLSTICE-BLUEMOON,PISCES
PROM_USA_ALL_16_NA_M_CAROUSEL_PRODUCT_GIRLY_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_VALENTINA-SATELLITE-ALIJA-RETROGRADE,VALENTINA
PROM_USA_EC_17_NA_M_CAROUSEL_PRODUCT_EDGY_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_SAGGITARIUS-ARA-BACKLESSHAVEN-PISCES,SAGGITARIUS
PROM_USA_EC_18_NA_M_CAROUSEL_PRODUCT_EDGY_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_SAGGITARIUS-ARA-BACKLESSHAVEN-PISCES,SAGGITARIUS
PROM_USA_WC_18_NA_M_CAROUSEL_PRODUCT_DRAMATIC_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_GALACTIC-BOREALIS-NOVA-VELA,GALACTIC
CONTEMPORARY_AUS_ALL_26-35_LOOKALIKE_ALL_CAROUSEL_PRODUCT_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_REESE-DEVILLE-JO-BLUEBELL,REESE
CONTEMPORARY_AUS_ALL_36-45_LOOKALIKE_ALL_CAROUSEL_PRODUCT_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_REESE-DEVILLE-JO-BLUEBELL,REESE
CONTEMPORARY_USA_ALL_26-35_LOOKALIKE_ALL_CAROUSEL_PRODUCT_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_REESE-DEVILLE-JO-BLUEBELL,REESE
CONTEMPORARY_USA_ALL_36-45_LOOKALIKE_ALL_CAROUSEL_INFLUENCER_HIGH CONTRAST_CAROUSEL_SMSHOOT_STYLING_PDP_DRESSES_MAQUINO-RINGWALD-BLUEBELL-MIDDLETON,MAQUINO
CONTEMPORARY_USA_ALL_36-45_LOOKALIKE_ALL_CAROUSEL_PRODUCT_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_REESE-DEVILLE-JO-BLUEBELL,REESE
