Date,Gross Revenue,Net Sales,Orders,Units,Customized Units,Re-fulfilled Units,COGS,Packaging Materials,Product Cost,Discounts,Shipping,Taxes,Other Adjustments,Transactions,New Customers,Repeat Customers,Returns,Inventory Returns,Refulfilled Return Units
2016-04-26,36452.2326,35210.6326,127,151,22,0,14872.609223604926,380,10395.910878204926,-1241.6,3409.99,0,0,127,84,7,0,0,0
2016-04-27,32485.9352,31190.1352,113,135,30,0,13110.551221698384,337.5,9142.177300898384,-1295.8,3023.3599999999997,0,0,113,77,5,0,0,0
2016-04-28,32007.339999999997,30737.19,115,135,12,0,13343.451826943701,337.5,9323.773316943702,-1281.85,3087.7999999999997,0,0,115,71,8,0,0,0
2016-04-29,23255.2426,22331.1926,88,95,11,0,9690.34055632723,237.5,6698.875970927229,-924.05,2315.36,0,0,88,61,3,0,0,0
2016-04-30,25762.405199999997,24593.2552,88,103,13,0,10544.290921311202,257.5,7429.826520511201,-1169.15,2370.36,0,0,88,56,5,0,0,0
2016-05-01,39861.49,37900.14,129,163,21,0,15989.81749203845,407.5,11337.933432038451,-1961.35,3503.8799999999997,0,0,129,83,6,0,0,0
2016-05-02,37941.54,36211.045,136,156,14,0,15348.444077328832,390,10603.043772328832,-1730.4950000000001,3648.48,0,0,136,86,4,0,0,0
2016-05-03,40722.8952,38934.427200000006,136,167,24,0,16512.593017404608,417.5,11645.694628604608,-1788.4679999999998,3687.7,0,0,136,85,5,0,0,0
2016-05-04,32247.02,30720.362,112,133,13,0,13252.485885485978,332.5,9243.055387485978,-1526.658,3078.64,0,0,112,68,2,0,0,0
2016-05-05,29720.5852,28418.2572,102,124,20,0,12265.07713943584,310,8627.307680635839,-1302.328,2776.44,0,0,102,65,1,0,0,0
2016-05-06,12427.43,11712.28,46,51,4,0,5209.584994106922,127.5,3652.5088741069226,-715.15,1202.12,0,0,46,35,1,0,0,0
2016-05-07,16739.2152,15818.865199999997,52,68,11,0,6660.966247162655,170,4761.379156362655,-920.35,1420.44,0,0,52,31,3,0,0,0
2016-05-08,30020.2152,28677.156199999998,92,121,18,0,11817.183496232487,302.5,8425.005966432487,-1343.059,2524.24,0,0,92,60,2,0,0,0
2016-05-09,35093.665199999996,33451.4312,116,147,26,0,14324.716371249526,367.5,10068.004866449526,-1642.234,3242.52,0,0,116,66,1,0,0,0
2016-05-10,25667.9426,24177.2846,92,105,16,0,10523.46071128312,262.5,7286.579457883121,-1490.658,2504.24,0,0,92,54,3,0,0,0
2016-05-11,22304.0826,21120.7826,81,95,14,0,9255.94948238753,237.5,6427.626786987529,-1183.3,2187.3199999999997,0,0,81,53,1,0,0,0
2016-05-12,24143.1026,23057.1526,75,101,10,0,9854.902380824635,252.5,7121.944955424635,-1085.95,2034,0,0,75,51,5,0,0,0
2016-05-13,14610.3126,13736.0726,53,58,5,0,6031.958666375609,145,4166.05256097561,-874.24,1450.1599999999999,0,0,53,30,0,0,0,0
2016-05-14,14390.9078,13676.2078,54,61,7,0,6078.0188502059555,152.5,4218.228824005955,-714.6999999999999,1444.8799999999999,0,0,54,37,1,0,0,0
2016-05-15,22424.14,21131.191,79,94,14,0,9211.144721651834,235,6437.260182651834,-1292.949,2132.88,0,0,79,51,2,0,0,0
2016-05-16,25654.3952,24393.1492,84,104,10,0,10469.48471428558,260,7434.4033874855795,-1261.246,2296.48,0,0,84,51,4,0,0,0
2016-05-17,21331.14,20248.145,75,86,8,0,8913.10055852806,215,6320.78435352806,-1082.9950000000001,1979.32,0,0,75,54,2,0,0,0
2016-05-18,20944.26,19726.525999999998,73,86,15,0,8385.956460744386,215,5833.5272067443875,-1217.734,1954.56,0,0,73,52,1,0,0,0
2016-05-19,23004.6926,21623.658600000002,74,95,12,0,9371.423861018075,237.5,6716.5177616180745,-1381.034,1999.32,0,0,74,54,1,0,0,0
2016-05-20,8109.33,7529.28,29,34,1,0,3330.9016903051547,85,2315.4725703051545,-580.05,786.88,0,0,29,17,1,0,0,0
2016-05-21,11835.12,11165.97,42,49,7,0,4871.380681371071,122.5,3413.66755137107,-669.15,1119.2,0,0,42,30,0,0,0,0
2016-05-22,12024.7378,11353.2888,43,50,9,0,4896.680521056208,125,3442.2351458562075,-671.4490000000001,1110.2,0,0,43,32,1,0,0,0
2016-05-23,19245.773,18391.094,64,82,15,0,7974.773277278683,205,5763.351551278683,-854.679,1653.48,0,0,64,39,4,0,0,0
2016-05-24,19256.9252,18404.2752,65,82,11,0,7890.4960828360045,205,5665.132102036005,-852.65,1667.04,0,0,65,36,2,0,0,0
2016-05-25,9075.6552,8658.1552,35,38,5,0,3693.8066685061153,95,2637.480167706115,-417.5,793.8399999999999,0,0,35,25,1,0,0,0
2016-05-26,9542.615199999998,8992.6652,37,40,10,0,3881.6969889562424,100,2749.6696981562427,-549.95,859.24,0,0,37,20,1,0,0,0
2016-05-27,6808.6652,6397.1572,25,28,6,0,2668.000551043702,70,1918.7629922437027,-411.508,555.3199999999999,0,0,25,18,1,0,0,0
2016-05-28,6830.8,6409.116,21,29,2,0,2667.43982602389,72.5,1992.03546202389,-421.68399999999997,480.84,0,0,21,17,0,0,0,0
2016-05-29,6331.4652,6004.8502,25,27,2,0,2609.6306684262627,67.5,1901.3900126262627,-326.615,526,0,0,25,21,1,0,0,0
2016-05-30,7658.8226,7165.6076,24,32,6,0,2964.2970868595453,80,2175.934466459545,-493.21500000000003,570.96,0,0,24,14,0,0,0,0
2016-05-31,11711.94,11027.339999999998,41,47,8,0,4638.854777706115,117.5,3363.321917706115,-684.6,941.64,0,0,41,23,0,0,0,0
2016-06-01,10297.6852,9747.1612,37,43,8,0,4042.430311051668,107.5,2920.402636251668,-550.524,826.4599999999999,0,0,37,21,2,0,0,0
2016-06-02,15816.9778,15032.5188,60,67,11,0,6483.847970711269,167.5,4705.4049255112695,-784.4590000000001,1322.3999999999999,0,0,60,42,1,0,0,0
2016-06-03,9268.68,8849.911,34,39,3,0,3588.1627182850625,97.5,2593.455299285062,-418.769,726.36,0,0,34,24,2,0,0,0
2016-06-04,6861.93,6419.572,24,28,3,0,2671.3452447831764,70,1950.8176567831765,-442.358,525.96,0,0,24,17,1,0,0,0
2016-06-05,8497.53,7923.911,32,35,7,0,3356.6760656766587,87.5,2380.102646676659,-573.619,736.28,0,0,32,14,2,0,0,0
2016-06-06,9345.57,8667.881,36,38,6,0,3719.30097537107,95,2680.09242637107,-677.6889999999999,776.4399999999999,0,0,36,25,0,0,0,0
2016-06-07,7413.2552,6762.8872,29,32,6,0,2969.2666036525366,80,2127.3828748525366,-650.368,636.16,0,0,29,20,1,0,0,0
2016-06-08,7994.53,7536.741,31,33,5,0,3172.3353385667524,82.5,2266.5198495667523,-457.789,677.35,0,0,31,20,0,0,0,0
2016-06-09,7514.61,7095.671000000001,28,32,3,0,3109.3444951271676,80,2262.8500361271676,-418.93899999999996,631.12,0,0,28,16,1,0,0,0
2016-06-10,3544.5926,3357.8926,11,15,3,0,1343.2001354,37.5,975.88125,-186.7,265.44,0,0,11,4,2,0,0,0
2016-06-11,6411.4026,5920.1526,23,26,3,0,2569.388211527167,65,1878.6237861271675,-491.25,511.28,0,0,23,13,1,0,0,0
2016-06-12,6777.7226,6363.6726,26,28,5,0,2711.7590541534305,70,1941.6625487534302,-414.05,577.15,0,0,26,17,0,0,0,0
2016-06-13,8628.0726,8054.1726,31,34,7,0,3407.685057998201,85,2492.6740525982013,-573.9,671.24,0,0,31,20,3,0,0,0
2016-06-14,8865.04,8329.29,31,37,4,0,3444.8024300309735,92.5,2465.9130200309737,-535.75,726.24,0,0,31,15,1,0,0,0
2016-06-15,4655.3026,4314.4536,20,20,6,0,1963.883347671807,50,1396.964193271807,-340.849,435.79999999999995,0,0,20,13,0,0,0,0
2016-06-16,6110.882600000001,5650.182600000001,22,25,5,0,2406.167920524935,62.5,1753.932625124935,-460.7,480.88,0,0,22,16,0,0,0,0
2016-06-17,2981.6526,2832.6526,13,13,1,0,1259.2245143977673,32.5,902.2975889977673,-149,270.88,0,0,13,10,1,0,0,0
2016-06-18,4427.2,4265.2,16,17,2,0,1735.1229875000001,42.5,1245.6921875,-162,360.64,0,0,16,9,0,0,0,0
2016-06-19,4110.29,3883.553,16,18,1,0,1692.214458019254,45,1233.551421019254,-226.73699999999997,340.64,0,0,16,13,1,0,0,0
2016-06-20,8486.22,8026.97,30,35,9,0,3315.321212963415,87.5,2410.839082963415,-459.25000000000006,661.1999999999999,0,0,30,22,0,0,0,0
2016-06-21,4656.6326,4326.7826000000005,19,19,5,0,1944.7254580262625,47.5,1407.7887626262625,-329.85,405.76,0,0,19,13,1,0,0,0
2016-06-22,2388.96,2276.96,8,10,0,0,982.2181261271677,25,732.8662861271677,-112,180.32,0,0,8,5,0,0,0,0
2016-06-23,4370.64,4128.14,16,18,2,0,1792.0773100000001,45,1290.24125,-242.5,376.71999999999997,0,0,16,7,0,0,0,0
2016-06-24,3700.29,3625.29,12,15,2,0,1393.990624698596,37.5,1012.4372146985962,-75,271.91999999999996,0,0,12,6,1,0,0,0
2016-06-25,2835.1026,2648.1026,13,13,2,0,1237.9882039732108,32.5,873.1732285732107,-187,284.12,0,0,13,9,0,0,0,0
2016-06-26,4013.3726,3857.1956,16,17,1,0,1631.5461976525253,42.5,1151.0675252525252,-156.177,363.52,0,0,16,8,1,0,0,0
2016-06-27,8137.2152,7644.0702,24,31,8,0,3060.9589423523244,77.5,2286.4609065523246,-493.145,543.52,0,0,24,17,0,0,0,0
2016-06-28,3948.83,3905.33,15,16,1,0,1521.9022231306715,40,1057.8476531306715,-43.5,346,0,0,15,8,0,0,0,0
2016-06-29,4479.2926,4230.2926,18,18,3,0,1778.435394577987,45,1268.1569091779868,-249,382.2,0,0,18,14,1,0,0,0
2016-06-30,3798.9926,3602.1266,16,17,2,0,1622.1411138460433,42.5,1161.1794424460431,-196.866,351.4,0,0,16,12,0,0,0,0
2016-07-01,4108.5852,3809.3352,12,17,2,0,1581.1560449335043,42.5,1185.7853241335044,-299.25,279.8,0,0,12,9,1,0,0,0
2016-07-02,2873.0526,2641.9375999999997,13,13,2,0,1244.7949765271676,32.5,884.0787861271676,-231.115,280.2,0,0,13,9,1,0,0,0
2016-07-03,5206.18,4795.43,15,20,4,0,1899.8481775273337,50,1393.7807075273338,-410.75000000000006,361,0,0,15,9,0,0,0,0
2016-07-04,7771.65,7061.54,25,34,3,0,3177.9776017293234,85,2357.9929417293233,-710.11,605,0,0,25,12,0,0,0,0
2016-07-05,6578.7352,6073.6342,26,28,5,0,2810.3536042982378,70,2045.4182124982376,-513.759,580.4,0,0,26,17,0,0,0,0
2016-07-06,5238.8204,4740.3904,21,22,5,0,2120.057788059545,55,1517.5864664595451,-498.43,458.4,0,0,21,16,0,0,0,0
2016-07-07,5060.6552,4918.1552,20,21,3,0,2113.343738966405,52.5,1516.4172381664048,-142.5,448,0,0,20,13,0,0,0,0
2016-07-08,2615.21,2590.21,9,11,2,0,1015.6655685732107,27.5,733.6494785732108,-25,203.6,0,0,9,4,2,0,0,0
2016-07-09,1072.5026,1035.5026,5,5,2,0,481.5995754,12.5,343.07,-37,107,0,0,5,4,0,0,0,0
2016-07-10,6022.9252,5715.5252,22,24,3,0,2375.4454346332827,60,1703.6952038332827,-307.4,498.79999999999995,0,0,22,10,2,0,0,0
2016-07-11,5332.6552,4990.1552,20,21,5,0,2084.1258230543353,52.5,1480.1113222543352,-342.5,453,0,0,20,10,2,0,0,0
2016-07-12,5699.0026,5400.3736,19,22,3,0,2135.5477094,55,1569.736875,-298.62899999999996,402.59999999999997,0,0,19,16,0,0,0,0
2016-07-13,5177.8351999999995,4925.0862,19,21,3,0,2052.7443900439025,52.5,1466.0168902439025,-252.749,437.59999999999997,0,0,19,10,0,0,0,0
2016-07-14,2255.3,2149.8,9,9,0,0,851.845617706115,22.5,588.201417706115,-105.5,198.6,0,0,9,6,0,0,0,0
2016-07-15,4557.92,4243.67,16,18,1,0,1789.900636385788,45,1300.0342063857881,-314.25,361.4,0,0,16,10,1,0,0,0
2016-07-16,4385.6852,4149.1392,16,18,4,0,1686.63412221223,45,1209.50908541223,-236.546,351.4,0,0,16,12,0,0,0,0
2016-07-17,4946.5178,4722.117799999999,18,21,3,0,2045.9645753779866,52.5,1500.5231591779866,-224.4,402.2,0,0,18,14,0,0,0,0
2016-07-18,3787.71,3582.21,14,16,3,0,1526.9834955876684,40,1097.6994055876685,-205.5,320.59999999999997,0,0,14,8,1,0,0,0
2016-07-19,4458.4852,4228.9852,20,20,4,0,1915.9922828238898,50,1334.48171202389,-229.5,452.86999999999995,0,0,20,11,0,0,0,0
2016-07-20,8422.31,7781.91,31,34,1,0,3429.608156471034,85,2466.3327664710337,-640.4,727.4,0,0,31,14,0,0,0,0
2016-07-21,4945.7352,4788.1601999999975,15,21,9,0,1924.0905853289646,52.5,1453.0639395289647,-157.57500000000002,325.86999999999995,0,0,15,12,0,0,0,0
2016-07-22,5289.4952,4877.3952,20,22,3,0,2074.2600860114107,55,1453.995625211411,-412.1,472.21999999999997,0,0,20,8,1,0,0,0
2016-07-23,1467.92,1256.92,6,6,1,0,564.1134431578948,15,398.5927631578948,-211,127.27,0,0,6,5,0,0,0,0
2016-07-24,2792.59,2556.59,11,11,1,0,1119.9487880187942,27.5,793.4976780187943,-236,249.01,0,0,11,6,0,0,0,0
2016-07-25,6152.2326,5705.886600000001,21,25,3,0,2325.1330495065135,62.5,1680.8423381065136,-446.346,471.32000000000005,0,0,21,15,1,0,0,0
2016-07-26,8750.3452,8049.8202,30,35,5,0,3224.580922446818,87.5,2317.146136646818,-700.525,663.49,0,0,30,22,0,0,0,0
2016-07-27,3238.7526000000003,2921.2526000000003,12,13,3,0,1257.326493106115,32.5,895.470167706115,-317.5,273.24,0,0,12,6,1,0,0,0
2016-07-28,3047.42,2715.652,12,13,2,0,1234.4273491976912,32.5,888.5334411976912,-331.76800000000003,263.24,0,0,12,8,0,0,0,0
2016-07-29,4939.4452,4378.7452,20,20,4,0,2013.9646231129996,50,1430.5810123129997,-560.7,450.4,0,0,20,11,0,0,0,0
2016-07-30,2647.88,2287.38,10,10,4,0,1079.9102826262626,25,797.8762626262626,-360.5,212.7,0,0,10,8,0,0,0,0
2016-07-31,5093.92,4643.06,19,21,0,0,2051.3345942639157,52.5,1495.2558542639158,-450.86,415.13,0,0,19,15,0,0,0,0
2016-08-01,7533.82,6940.636000000001,24,29,0,0,2772.8030035977417,72.5,2001.3445595977416,-593.184,561.4800000000001,0,0,24,13,1,0,0,0
2016-08-02,6990.0352,6489.1852,25,28,6,0,2730.8572050010016,70,1972.5208342010014,-500.85,561.75,0,0,25,15,2,0,0,0
2016-08-03,6240.22,5651.466,29,29,3,0,2698.4835627591556,72.5,1898.0610487591557,-588.754,627.83,0,0,29,21,0,0,0,0
2016-08-04,3847.8252,3482.8062,15,16,3,0,1486.0696503538356,40,1061.2182705538357,-365.019,319.05,0,0,15,12,1,0,0,0
2016-08-05,4195.53,3729.648,17,18,3,0,1752.1902400713286,45,1259.0404480713287,-474.53999999999996,379.59,0,0,17,11,0,0,0,0
2016-08-06,3836.7200000000003,3432.463,12,15,0,0,1454.1017027841576,37.5,1061.8202757841575,-404.257,288.24,0,0,12,4,2,0,0,0
2016-08-07,3207.6126,2968.8136,11,13,2,0,1277.5339277333333,32.5,939.5683333333333,-238.799,247.97,0,0,11,7,0,0,0,0
2016-08-08,5190.365199999999,4842.3652,16,21,2,0,1921.5905474651313,52.5,1400.548623331798,-348,374.3133333333334,0,0,16,10,0,0,0,0
2016-08-09,3709.71,3423.081,14,16,2,0,1527.787682191851,40,1099.9383331918507,-286.629,323.7800000000001,0,0,14,8,0,0,0,0
2016-08-10,5704.4778,5346.0887999999995,24,25,6,0,2303.978659751522,62.5,1614.5970845515221,-358.389,526.845,0,0,24,16,1,0,0,0
2016-08-11,4134.9252,3860.5752,16,17,4,0,1599.2562898102708,42.5,1127.8796090102708,-274.35,354.32,0,0,16,11,0,0,0,0
2016-08-12,3807.4326,3587.5776,16,17,3,0,1682.3723117796926,42.5,1233.9125613796928,-219.855,339.32,0,0,16,12,1,0,0,0
2016-08-13,4021.3,3782.316,16,17,3,0,1707.3278040247499,42.5,1238.2206400247499,-238.984,354.32,0,0,16,9,1,0,0,0
2016-08-14,4440.1026,4243.2336,16,17,3,0,1782.8096966568403,42.5,1305.3359222568404,-196.869,349.32,0,0,16,12,0,0,0,0
2016-08-15,5104.2,4930.2,19,21,2,0,1923.4302006332573,52.5,1358.7294006332572,-174,415.425,0,0,19,13,1,0,0,0
2016-08-16,6704.5978000000005,6269.3978,25,28,6,0,2606.859721649648,70,1859.8971854496478,-435.2,556.75,0,0,25,14,2,0,0,0
